start,finish,thickness
javascript,html_css,1.0
javascript,sql,0.04100437687168855
javascript,python,0.19511633264224834
javascript,java,0.18728403593642018
javascript,shell,0.0875374337710205
javascript,c#,0.022345081778392076
javascript,php,0.24164938954158027
javascript,c++,0.09629117714812255
javascript,typescript,0.02994701681640175
javascript,c,0.038700760193503804
javascript,ruby,0.07394609536973047
javascript,go,0.06496199032480995
javascript,assembly,0.00138217000691085
javascript,swift,0.0055286800276434
javascript,r,0.05044920525224603
javascript,vba,0.03455425017277125
javascript,objective-c,0.0442294402211472
javascript,rust,0.00138217000691085
javascript,jquery,0.16793365583966827
javascript,react,0.2616908546417876
javascript,angular,0.1243953006219765
javascript,asp,0.017737848422022577
javascript,express,0.0009214466712739
javascript,vue.js,0.10896106887813868
javascript,laravel,0.013821700069108501
javascript,ruby on rails,0.000230361667818475
javascript,drupal,0.014512785072563926
javascript,linux,0.013821700069108501
javascript,windows,0.05298318359824925
javascript,docker,0.04952775858097213
javascript,aws,0.02994701681640175
javascript,wordpress,0.0820087537433771
javascript,google cloud platform,0.013821700069108501
javascript,mysql,0.13314904399907856
javascript,postgresql,0.000230361667818475
javascript,sql server,0.03455425017277125
javascript,oracle,0.0064501266989173
javascript,elasticsearch,0.013821700069108501
javascript,node.js,0.27021423635107117
javascript,unreal engine,0.006910850034554251
html_css,javascript,1.0
html_css,sql,0.06956922368117945
html_css,python,0.14512785072563925
html_css,java,0.27436074637180374
html_css,shell,0.101359133840129
html_css,php,0.5097903708822852
html_css,c++,0.04653305689933195
html_css,typescript,0.0156645934116563
html_css,ruby,0.073715733701912
html_css,go,0.061736926975351304
html_css,assembly,0.0027643400138217
html_css,r,0.1375259156876296
html_css,vba,0.03455425017277125
html_css,rust,0.0027643400138217
html_css,jquery,0.4598018889656761
html_css,react,0.4305459571527298
html_css,angular,0.3900023036166782
html_css,asp,0.14190278737618062
html_css,express,0.0018428933425478
html_css,vue.js,0.211932734392997
html_css,laravel,0.027643400138217002
html_css,drupal,0.0580511402902557
html_css,linux,0.027643400138217002
html_css,windows,0.12024879060124395
html_css,docker,0.027643400138217002
html_css,android,0.015434231743837826
html_css,aws,0.0110573600552868
html_css,wordpress,0.27044459801888965
html_css,google cloud platform,0.027643400138217002
html_css,mysql,0.30292559318129464
html_css,sql server,0.06311909698226215
html_css,oracle,0.006910850034554251
html_css,elasticsearch,0.027643400138217002
html_css,node.js,0.6150656530753282
sql,javascript,0.04100437687168855
sql,html_css,0.06956922368117945
sql,python,0.01243953006219765
sql,java,0.038470398525685325
sql,powershell,0.00598940336328035
sql,c#,0.030177378484220224
sql,c++,0.0064501266989173
sql,go,0.04100437687168855
sql,r,0.00598940336328035
sql,vba,0.03455425017277125
sql,asp,0.00598940336328035
sql,windows,0.014052061736926975
sql,android,0.0064501266989173
sql,ios,0.0156645934116563
sql,azure,0.00598940336328035
sql,sql server,0.05482607694079705
sql,oracle,0.0066804883667357755
python,javascript,0.19511633264224834
python,html_css,0.14512785072563925
python,sql,0.01243953006219765
python,java,0.19235199262842664
python,shell,0.1078092605390463
python,powershell,0.00598940336328035
python,c#,0.0129002533978346
python,php,0.08984105044920525
python,c++,0.09191430545957152
python,c,0.06979958534899793
python,ruby,0.07394609536973047
python,go,0.0064501266989173
python,r,0.01981110343238885
python,objective-c,0.04561161022805805
python,jquery,0.013821700069108501
python,react,0.024648698456576825
python,asp,0.00598940336328035
python,spring,0.0046072333563695
python,flask,0.017737848422022577
python,laravel,0.013821700069108501
python,ruby on rails,0.000230361667818475
python,linux,0.03155954849113107
python,docker,0.058281501958074175
python,android,0.009444828380557475
python,aws,0.00506795669200645
python,wordpress,0.013821700069108501
python,ios,0.002533978346003225
python,google cloud platform,0.013821700069108501
python,azure,0.00598940336328035
python,postgresql,0.015434231743837826
python,sql server,0.00598940336328035
python,oracle,0.0064501266989173
python,elasticsearch,0.02902557014512785
python,dynamodb,0.0046072333563695
python,node.js,0.0875374337710205
python,hadoop,0.0202718267680258
java,javascript,0.18728403593642018
java,html_css,0.27436074637180374
java,sql,0.038470398525685325
java,python,0.19235199262842664
java,shell,0.073715733701912
java,c#,0.09905551716194426
java,php,0.11356830223450817
java,c++,0.14789219073946094
